"title","industry","genre","year","director","cast","rating","description","poster_url"
"Badhaai Ho Badhaai","Bollywood","Comedy Drama Musical","2002","Satish Kaushik","Anil Kapoor, Anang Desai, Rohini Hattangadi, Vinay Jain","4.4","A Bollywood Comedy Drama Musical film released in 2002, directed by Satish Kaushik and starring Anil Kapoor, Anang Desai, Rohini Hattangadi, Vinay Jain.",""
"Humraaz","Bollywood","Action Musical Mystery","2002","Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Bobby Deol, Akshaye Khanna, Ameesha Patel, Johnny Lever","7.1","A Bollywood Action Musical Mystery film released in 2002, directed by Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla and starring Bobby Deol, Akshaye Khanna, Ameesha Patel, Johnny Lever.",""
"Maine Dil Tujhko Diya","Bollywood","Romance Action Drama","2002","Sohail Khan","Sohail Khan, Sameera Reddy, Sanjay Dutt, Kabir Bedi","5.3","A Bollywood Romance Action Drama film released in 2002, directed by Sohail Khan and starring Sohail Khan, Sameera Reddy, Sanjay Dutt, Kabir Bedi.",""
"Chori Chori","Bollywood","Comedy Romance Musical","2003","Milan Luthria","Ajay Devgn, Sonali Bendre, Rani Mukerji, Kamini Kaushal","4.4","A Bollywood Comedy Romance Musical film released in 2003, directed by Milan Luthria and starring Ajay Devgn, Sonali Bendre, Rani Mukerji, Kamini Kaushal.",""
"Jaani Dushman: Ek Anokhi Kahani","Bollywood","Action Fantasy Horror","2002","Rajkumar Kohli","Akshay Kumar, Atul Agnihotri, Raj Babbar, Rajat Bedi","5.3","A Bollywood Action Fantasy Horror film released in 2002, directed by Rajkumar Kohli and starring Akshay Kumar, Atul Agnihotri, Raj Babbar, Rajat Bedi.",""
"Kuch Tum Kaho Kuch Hum Kahein","Bollywood","Action Drama Romance","2002","Ravi Sharma Shankar","Vikram Gokhale, Dinesh Hingoo, Adi Irani, Farida Jalal","4.4","A Bollywood Action Drama Romance film released in 2002, directed by Ravi Sharma Shankar and starring Vikram Gokhale, Dinesh Hingoo, Adi Irani, Farida Jalal.",""
"Kyaa Dil Ne Kahaa","Bollywood","Family Romance","2002","Sanjay Chhel","Rajesh Khanna, Tusshar Kapoor, Esha Deol, Raj Babbar","5.3","A Bollywood Family Romance film released in 2002, directed by Sanjay Chhel and starring Rajesh Khanna, Tusshar Kapoor, Esha Deol, Raj Babbar.",""
"Om Jai Jagadish","Bollywood","Drama Musical","2002","Anupam Kher","Waheeda Rehman, Anil Kapoor, Fardeen Khan, Abhishek Bachchan","4.4","A Bollywood Drama Musical film released in 2002, directed by Anupam Kher and starring Waheeda Rehman, Anil Kapoor, Fardeen Khan, Abhishek Bachchan.",""
"Taj Mahal: An Eternal Love Story","Bollywood","Drama Musical Romance","2005","Akbar Khan","Zulfi Sayed, Sonya Jehan, Kabir Bedi, Arbaaz Khan","4.4","A Bollywood Drama Musical Romance film released in 2005, directed by Akbar Khan and starring Zulfi Sayed, Sonya Jehan, Kabir Bedi, Arbaaz Khan.",""
"Yeh Hai Jalwa","Bollywood","Comedy Drama Romance","2002","David Dhawan","Rishi Kapoor, Salman Khan, Ameesha Patel, Rati Agnihotri","5.3","A Bollywood Comedy Drama Romance film released in 2002, directed by David Dhawan and starring Rishi Kapoor, Salman Khan, Ameesha Patel, Rati Agnihotri.",""
"Dil Maange More!!!","Bollywood","Romance","2004","Anant Mahadevan","Shahid Kapoor, Smita Jaykar, Ayesha Takia, Tulip Joshi","5.3","A Bollywood Romance film released in 2004, directed by Anant Mahadevan and starring Shahid Kapoor, Smita Jaykar, Ayesha Takia, Tulip Joshi.",""
"Dil Hai Tumhaara","Bollywood","Drama Family Romance","2002","Kundan Shah","Arjun Rampal, Preity Zinta, Mahima Chaudhry, Jimmy Shergill","6.2","A Bollywood Drama Family Romance film released in 2002, directed by Kundan Shah and starring Arjun Rampal, Preity Zinta, Mahima Chaudhry, Jimmy Shergill.",""
"Soch","Bollywood","Thriller","2002","Sushen Bhatnagar","Sanjay Kapoor, Raveena Tandon, Aditi Govitrikar, Arbaaz Khan","4.4","A Bollywood Thriller film released in 2002, directed by Sushen Bhatnagar and starring Sanjay Kapoor, Raveena Tandon, Aditi Govitrikar, Arbaaz Khan.",""
"Boom","Bollywood","Action Crime Mystery","2003","Kaizad Gustad","Amitabh Bachchan, Jackie Shroff, Gulshan Grover, Padma Lakshmi","5.3","A Bollywood Action Crime Mystery film released in 2003, directed by Kaizad Gustad and starring Amitabh Bachchan, Jackie Shroff, Gulshan Grover, Padma Lakshmi.",""
"Dil Ka Rishta","Bollywood","Romance","2003","Naresh Malhotra","Arjun Rampal, Aishwarya Rai Bachchan, Priyanshu Chatterjee, Rakhee Gulzar","5.3","A Bollywood Romance film released in 2003, directed by Naresh Malhotra and starring Arjun Rampal, Aishwarya Rai Bachchan, Priyanshu Chatterjee, Rakhee Gulzar.",""
"Pran Jaaye Par Shaan Na Jaaye","Bollywood","Drama Comedy","2003","Sanjay Jha","Raveena Tandon, Namrata Shirodkar, Rinke Khanna, Divya Dutta","4.4","A Bollywood Drama Comedy film released in 2003, directed by Sanjay Jha and starring Raveena Tandon, Namrata Shirodkar, Rinke Khanna, Divya Dutta.",""
"Saathiya","Bollywood","Drama Romance","2002","Shaad Ali","Vivek Oberoi, Rani Mukerji, Tanuja, Satish Shah","8","A Bollywood Drama Romance film released in 2002, directed by Shaad Ali and starring Vivek Oberoi, Rani Mukerji, Tanuja, Satish Shah.",""
"Chor Machaaye Shor","Bollywood","Action Comedy Crime","2002","David Dhawan","Bobby Deol, Om Puri, Paresh Rawal, Shekhar Suman","5.3","A Bollywood Action Comedy Crime film released in 2002, directed by David Dhawan and starring Bobby Deol, Om Puri, Paresh Rawal, Shekhar Suman.",""
"Gunaah","Bollywood","Crime Drama","2002","Amol Shetge","Bipasha Basu, Dino Morea, Ashutosh Rana, Banjara","5.3","A Bollywood Crime Drama film released in 2002, directed by Amol Shetge and starring Bipasha Basu, Dino Morea, Ashutosh Rana, Banjara.",""
"Akhiyon Se Goli Maare","Bollywood","Comedy","2002","Harmesh Malhotra","Govinda, Raveena Tandon, Kader Khan, Shakti Kapoor","5.3","A Bollywood Comedy film released in 2002, directed by Harmesh Malhotra and starring Govinda, Raveena Tandon, Kader Khan, Shakti Kapoor.",""
"Chhal","Bollywood","Action Thriller Drama","2002","Hansal Mehta","Kay Kay Menon, Jaya Seal, Naved Aslam, Shri Vallabh Vyas","4.4","A Bollywood Action Thriller Drama film released in 2002, directed by Hansal Mehta and starring Kay Kay Menon, Jaya Seal, Naved Aslam, Shri Vallabh Vyas.",""
"Ek Chhotisi Love Story","Bollywood","Comedy Drama Fantasy","2002","Shashilal K. Nair","Saroj Bhargava, Manisha Koirala, Aditya Seal, Ranvir Shorey","8.9","A Bollywood Comedy Drama Fantasy film released in 2002, directed by Shashilal K. Nair and starring Saroj Bhargava, Manisha Koirala, Aditya Seal, Ranvir Shorey.",""
"Shakthi: The Power","Bollywood","Action Drama","2002","Krishna Vamshi","Karisma Kapoor, Nana Patekar, Sanjay Kapoor, Jai Gidwani","5.3","A Bollywood Action Drama film released in 2002, directed by Krishna Vamshi and starring Karisma Kapoor, Nana Patekar, Sanjay Kapoor, Jai Gidwani.",""
"Armaan","Bollywood","Drama Family Romance","2003","Honey Irani","Amitabh Bachchan, Anil Kapoor, Preity Zinta, Gracy Singh","5.3","A Bollywood Drama Family Romance film released in 2003, directed by Honey Irani and starring Amitabh Bachchan, Anil Kapoor, Preity Zinta, Gracy Singh.",""
"Sur: The Melody of Life","Bollywood","Drama Musical","2002","Tanuja Chandra","Lucky Ali, Simone Singh, Achint Kaur, Ehsan Khan","4.4","A Bollywood Drama Musical film released in 2002, directed by Tanuja Chandra and starring Lucky Ali, Simone Singh, Achint Kaur, Ehsan Khan.",""
"Dil Vil Pyar Vyar","Bollywood","Romance","2002","Anant Mahadevan","Madhavan, Jimmy Shergill, Sanjay Suri, Namrata Shirodkar","5.3","A Bollywood Romance film released in 2002, directed by Anant Mahadevan and starring Madhavan, Jimmy Shergill, Sanjay Suri, Namrata Shirodkar.",""
"Pyaasa","Bollywood","Romance Drama Musical","2002","A. Muthu","Aftab Shivdasani, Anang Desai, Dinesh Hingoo, Smita Jaykar","4.4","A Bollywood Romance Drama Musical film released in 2002, directed by A. Muthu and starring Aftab Shivdasani, Anang Desai, Dinesh Hingoo, Smita Jaykar.",""
"Baghban","Bollywood","Drama Romance","2003","Ravi Chopra","Amitabh Bachchan, Hema Malini, Aman Verma, Samir Soni","8.9","A Bollywood Drama Romance film released in 2003, directed by Ravi Chopra and starring Amitabh Bachchan, Hema Malini, Aman Verma, Samir Soni.",""
"Hathyar: Face to Face with Reality","Bollywood","Action Thriller Crime","2002","Mahesh Manjrekar","Sanjay Dutt, Shilpa Shetty, Sharad S. Kapoor, Shakti Kapoor","5.3","A Bollywood Action Thriller Crime film released in 2002, directed by Mahesh Manjrekar and starring Sanjay Dutt, Shilpa Shetty, Sharad S. Kapoor, Shakti Kapoor.",""
"Jeena Sirf Merre Liye","Bollywood","Romance","2002","Talat Jani","Vijayendra Ghatge, Kareena Kapoor, Tusshar Kapoor, Kader Khan","5.3","A Bollywood Romance film released in 2002, directed by Talat Jani and starring Vijayendra Ghatge, Kareena Kapoor, Tusshar Kapoor, Kader Khan.",""
"Deewangee","Bollywood","Crime Thriller Drama","2002","Anees Bazmee","Ajay Devgn, Akshaye Khanna, Urmila Matondkar, Farida Jalal","6.2","A Bollywood Crime Thriller Drama film released in 2002, directed by Anees Bazmee and starring Ajay Devgn, Akshaye Khanna, Urmila Matondkar, Farida Jalal.",""
"Ek Hindustani","Bollywood","Action","2003","Tinnu Anand","Sunil Shetty, Raveena Tandon, Mohan Joshi, Mohnish Bahl","4.4","A Bollywood Action film released in 2003, directed by Tinnu Anand and starring Sunil Shetty, Raveena Tandon, Mohan Joshi, Mohnish Bahl.",""
"Talaash: The Hunt Begins...","Bollywood","Action Adventure Crime","2003","Suneel Darshan","Rakhee Gulzar, Akshay Kumar, Kareena Kapoor, Pooja Batra","5.3","A Bollywood Action Adventure Crime film released in 2003, directed by Suneel Darshan and starring Rakhee Gulzar, Akshay Kumar, Kareena Kapoor, Pooja Batra.",""
"Yeh Kya Ho Raha Hai?","Bollywood","Comedy Romance","2002","Hansal Mehta","Prashant Chianani, Aamir Ali Malik, Vaibhav Jhalani, Yash Pandit","5.3","A Bollywood Comedy Romance film released in 2002, directed by Hansal Mehta and starring Prashant Chianani, Aamir Ali Malik, Vaibhav Jhalani, Yash Pandit.",""
"Annarth","Bollywood","Action Thriller","2002","Ravi Dewan","Sanjay Dutt, Sunil Shetty, Ashutosh Rana, Preeti Jhangiani","4.4","A Bollywood Action Thriller film released in 2002, directed by Ravi Dewan and starring Sanjay Dutt, Sunil Shetty, Ashutosh Rana, Preeti Jhangiani.",""
"Ek Se Badhkar Ek","Bollywood","Comedy Thriller","2004","Kundan Shah","Sunil Shetty, Raveena Tandon, Shekhar Suman, Isha Koppikar","4.4","A Bollywood Comedy Thriller film released in 2004, directed by Kundan Shah and starring Sunil Shetty, Raveena Tandon, Shekhar Suman, Isha Koppikar.",""
"Waah! Tera Kya Kehna","Bollywood","Comedy","2002","Manoj Agrawal","Govinda, Raveena Tandon, Preeti Jhangiani, Shakti Kapoor","4.4","A Bollywood Comedy film released in 2002, directed by Manoj Agrawal and starring Govinda, Raveena Tandon, Preeti Jhangiani, Shakti Kapoor.",""
"Jaal: The Trap","Bollywood","Action Musical Drama","2003","Guddu Dhanoa","Sunny Deol, Tabu, Reema Sen, Anupam Kher","4.4","A Bollywood Action Musical Drama film released in 2003, directed by Guddu Dhanoa and starring Sunny Deol, Tabu, Reema Sen, Anupam Kher.",""
"Zindagi Khoobsoorat Hai","Bollywood","Drama Family","2002","Manoj Punj","Gurdas Mann, Tabu, Ashish Vidyarthi, Rajit Kapoor","4.4","A Bollywood Drama Family film released in 2002, directed by Manoj Punj and starring Gurdas Mann, Tabu, Ashish Vidyarthi, Rajit Kapoor.",""
"Bhoot","Bollywood","Horror Thriller","2003","Ram Gopal Varma","Ajay Devgn, Urmila Matondkar, Nana Patekar, Rekha","8.9","A Bollywood Horror Thriller film released in 2003, directed by Ram Gopal Varma and starring Ajay Devgn, Urmila Matondkar, Nana Patekar, Rekha.",""
"Maseeha","Bollywood","Action Crime Drama","2002","Partho Ghosh","Sunil Shetty, Namrata Shirodkar, Inder Kumar, Manek Bedi","4.4","A Bollywood Action Crime Drama film released in 2002, directed by Partho Ghosh and starring Sunil Shetty, Namrata Shirodkar, Inder Kumar, Manek Bedi.",""
"Rishtey","Bollywood","Family","2002","Indra Kumar","Anil Kapoor, Karisma Kapoor, Shilpa Shetty, Kaivalya Chheda","5.3","A Bollywood Family film released in 2002, directed by Indra Kumar and starring Anil Kapoor, Karisma Kapoor, Shilpa Shetty, Kaivalya Chheda.",""
"Satta","Bollywood","Crime Drama","2003","Madhur Bhandarkar","Raveena Tandon, Atul Kulkarni, Shri Vallabh Vyas, Govind Namdeo","5.3","A Bollywood Crime Drama film released in 2003, directed by Madhur Bhandarkar and starring Raveena Tandon, Atul Kulkarni, Shri Vallabh Vyas, Govind Namdeo.",""
"Karz: The Burden of Truth","Bollywood","Action","2002","Harry Baweja","Sunny Deol, Sunil Shetty, Shilpa Shetty, Ashutosh Rana","5.3","A Bollywood Action film released in 2002, directed by Harry Baweja and starring Sunny Deol, Sunil Shetty, Shilpa Shetty, Ashutosh Rana.",""
"Chura Liyaa Hai Tumne","Bollywood","Action Drama Mystery","2003","Sangeeth Sivan","Zayed Khan, Esha Deol, Gulshan Grover, Rakhi Sawant","4.4","A Bollywood Action Drama Mystery film released in 2003, directed by Sangeeth Sivan and starring Zayed Khan, Esha Deol, Gulshan Grover, Rakhi Sawant.",""
"Danger","Bollywood","Crime Drama Thriller","2002","Govind Menon","Ashutosh Rana, Tara Deshpande, Jas Arora, Shishir Sharma","5.3","A Bollywood Crime Drama Thriller film released in 2002, directed by Govind Menon and starring Ashutosh Rana, Tara Deshpande, Jas Arora, Shishir Sharma.",""
"Love at Times Square","Bollywood","Drama","2003","Dev Anand","Dev Anand, Heenee Kaushik, Shoib Khan, Chaitanya Chaudhary","4.4","A Bollywood Drama film released in 2003, directed by Dev Anand and starring Dev Anand, Heenee Kaushik, Shoib Khan, Chaitanya Chaudhary.",""
"The Rising: Ballad of Mangal Pandey","Bollywood","Biography Drama History","2005","Ketan Mehta","Aamir Khan, Rani Mukerji, Toby Stephens, Coral Beed","5.3","A Bollywood Biography Drama History film released in 2005, directed by Ketan Mehta and starring Aamir Khan, Rani Mukerji, Toby Stephens, Coral Beed.",""
"Andaaz","Bollywood","Drama Musical Romance","2003","Raj Kanwar","Akshay Kumar, Lara Dutta, Priyanka Chopra, Rajeev Verma","8.9","A Bollywood Drama Musical Romance film released in 2003, directed by Raj Kanwar and starring Akshay Kumar, Lara Dutta, Priyanka Chopra, Rajeev Verma.",""
"Avgat","Bollywood","Action Crime Drama","2001","Mohan Sharma","Ajinkya Deo, Nethra Raghuraman, Sayaji Shinde, Rohini Hattangadi","4.4","A Bollywood Action Crime Drama film released in 2001, directed by Mohan Sharma and starring Ajinkya Deo, Nethra Raghuraman, Sayaji Shinde, Rohini Hattangadi.",""
"Chalte Chalte","Bollywood","Drama Romance","2003","Aziz Mirza","Shah Rukh Khan, Rani Mukerji, Jas Arora, Satish Shah","8.9","A Bollywood Drama Romance film released in 2003, directed by Aziz Mirza and starring Shah Rukh Khan, Rani Mukerji, Jas Arora, Satish Shah.",""
"The Hero: Love Story of a Spy","Bollywood","Action Adventure Drama","2003","Anil Sharma","Sunny Deol, Preity Zinta, Priyanka Chopra, Amrish Puri","6.2","A Bollywood Action Adventure Drama film released in 2003, directed by Anil Sharma and starring Sunny Deol, Preity Zinta, Priyanka Chopra, Amrish Puri.",""
"Jhankaar Beats","Bollywood","Comedy Musical Romance","2003","Sujoy Ghosh","Sanjay Suri, Rahul Bose, Juhi Chawla, Rinke Khanna","5.3","A Bollywood Comedy Musical Romance film released in 2003, directed by Sujoy Ghosh and starring Sanjay Suri, Rahul Bose, Juhi Chawla, Rinke Khanna.",""
"Kal Ho Naa Ho","Bollywood","Comedy Drama Romance","2003","Nikhil Advani, Ron Reid Jr.","Shah Rukh Khan, Preity Zinta, Saif Ali Khan, Jaya Bhaduri","8.9","A Bollywood Comedy Drama Romance film released in 2003, directed by Nikhil Advani, Ron Reid Jr. and starring Shah Rukh Khan, Preity Zinta, Saif Ali Khan, Jaya Bhaduri.",""
"Khakee","Bollywood","Action Drama","2004","Rajkumar Santoshi","Amitabh Bachchan, Akshay Kumar, Ajay Devgn, Aishwarya Rai Bachchan","7.1","A Bollywood Action Drama film released in 2004, directed by Rajkumar Santoshi and starring Amitabh Bachchan, Akshay Kumar, Ajay Devgn, Aishwarya Rai Bachchan.",""
"LOC: Kargil","Bollywood","Drama War","2003","J.P. Dutta","Sanjay Dutt, Ajay Devgn, Saif Ali Khan, Sunil Shetty","5.3","A Bollywood Drama War film released in 2003, directed by J.P. Dutta and starring Sanjay Dutt, Ajay Devgn, Saif Ali Khan, Sunil Shetty.",""
"Main Hoon Na","Bollywood","Action Comedy Romance","2004","Farah Khan","Shah Rukh Khan, Sushmita Sen, Sunil Shetty, Zayed Khan","8.9","A Bollywood Action Comedy Romance film released in 2004, directed by Farah Khan and starring Shah Rukh Khan, Sushmita Sen, Sunil Shetty, Zayed Khan.",""
"Pinjar","Bollywood","Drama","2003","Chandra Prakash Dwivedi","Urmila Matondkar, Manoj Bajpayee, Sanjay Suri, Sandali Sinha","4.4","A Bollywood Drama film released in 2003, directed by Chandra Prakash Dwivedi and starring Urmila Matondkar, Manoj Bajpayee, Sanjay Suri, Sandali Sinha.",""
"Tehzeeb","Bollywood","Drama","2003","Khalid Mohamed","Shabana Azmi, Urmila Matondkar, Arjun Rampal, Dia Mirza","4.4","A Bollywood Drama film released in 2003, directed by Khalid Mohamed and starring Shabana Azmi, Urmila Matondkar, Arjun Rampal, Dia Mirza.",""
"Tere Liye","Bollywood","Drama Family Musical","2001","Sanjay Gadhvi","Imran Ahmed Khan, Sonali Khare, Neelu Kohli, Hiten Paintal","4.4","A Bollywood Drama Family Musical film released in 2001, directed by Sanjay Gadhvi and starring Imran Ahmed Khan, Sonali Khare, Neelu Kohli, Hiten Paintal.",""
"Tujhe Meri Kasam","Bollywood","Romance","2003","Vijay K. Bhaskar","Ritesh Deshmukh, Shakti Kapoor, Supriya Karnik, Satish Shah","8.9","A Bollywood Romance film released in 2003, directed by Vijay K. Bhaskar and starring Ritesh Deshmukh, Shakti Kapoor, Supriya Karnik, Satish Shah.",""
"Aapko Pehle Bhi Kahin Dekha Hai","Bollywood","Action Comedy Drama","2003","Anubhav Sinha","Pummy Brar, Priyanshu Chatterjee, Crystal, Harry","4.4","A Bollywood Action Comedy Drama film released in 2003, directed by Anubhav Sinha and starring Pummy Brar, Priyanshu Chatterjee, Crystal, Harry.",""
"Khushi","Bollywood","Action Drama Romance","2003","Surya S.J., Sunil Kumar Agrawal","Fardeen Khan, Kareena Kapoor, Amrish Puri, Amitabh Bachchan","5.3","A Bollywood Action Drama Romance film released in 2003, directed by Surya S.J., Sunil Kumar Agrawal and starring Fardeen Khan, Kareena Kapoor, Amrish Puri, Amitabh Bachchan.",""
"Kucch To Hai","Bollywood","Drama Horror Mystery","2003","Anurag Basu, Anil V. Kumar","Ashay Chitre, Esha Deol, Anita Hassandani, Vrajesh Hirjee","5.3","A Bollywood Drama Horror Mystery film released in 2003, directed by Anurag Basu, Anil V. Kumar and starring Ashay Chitre, Esha Deol, Anita Hassandani, Vrajesh Hirjee.",""
"Chalo Ishq Ladaaye","Bollywood","Comedy Romance","2002","Aziz Sejawal","Govinda, Kader Khan, Rani Mukerji, Zohra Segal","4.4","A Bollywood Comedy Romance film released in 2002, directed by Aziz Sejawal and starring Govinda, Kader Khan, Rani Mukerji, Zohra Segal.",""
