"title","industry","genre","year","director","cast","rating","description","poster_url"
"Saas Bahu Aur Sensex","Bollywood","Comedy Drama","2008","Shona Urvashi","Kiron Kher, Farooq Shaikh, Ankur Khanna, Masumeh Makhija","4.4","A Bollywood Comedy Drama film released in 2008, directed by Shona Urvashi and starring Kiron Kher, Farooq Shaikh, Ankur Khanna, Masumeh Makhija.",""
"What's Your Raashee?","Bollywood","Comedy Drama Romance","2009","Ashutosh Gowariker","Harman Baweja, Priyanka Chopra, Anjan Srivastav, Manju Singh","4.4","A Bollywood Comedy Drama Romance film released in 2009, directed by Ashutosh Gowariker and starring Harman Baweja, Priyanka Chopra, Anjan Srivastav, Manju Singh.",""
"Luck","Bollywood","Action Adventure Drama","2009","Soham Shah","Mithun Chakraborty, Sanjay Dutt, Imran Khan, Ravi Kishan","5.3","A Bollywood Action Adventure Drama film released in 2009, directed by Soham Shah and starring Mithun Chakraborty, Sanjay Dutt, Imran Khan, Ravi Kishan.",""
"Contract","Bollywood","Action Crime Drama","2008","Ram Gopal Varma","David Bueno, Vibha Cheebur, Raaj Gopal, Sakshi Gulati","5.3","A Bollywood Action Crime Drama film released in 2008, directed by Ram Gopal Varma and starring David Bueno, Vibha Cheebur, Raaj Gopal, Sakshi Gulati.",""
"Hisss","Bollywood","Comedy Drama Horror","2010","Jennifer Chambers Lynch","Mallika Sherawat, Irrfan Khan, Jeff Doucette, Divya Dutta","4.4","A Bollywood Comedy Drama Horror film released in 2010, directed by Jennifer Chambers Lynch and starring Mallika Sherawat, Irrfan Khan, Jeff Doucette, Divya Dutta.",""
"Jail","Bollywood","Drama","2009","Madhur Bhandarkar","Neil Nitin Mukesh, Manoj Bajpayee, Arya Babbar, Mirza Ali Quli","5.3","A Bollywood Drama film released in 2009, directed by Madhur Bhandarkar and starring Neil Nitin Mukesh, Manoj Bajpayee, Arya Babbar, Mirza Ali Quli.",""
"Haal-e-Dil","Bollywood","Drama Romance","2008","Anil Devgan","Amita Pathak, Nakuul Mehta, Adhyayan Suman, Nassar Abdulla","4.4","A Bollywood Drama Romance film released in 2008, directed by Anil Devgan and starring Amita Pathak, Nakuul Mehta, Adhyayan Suman, Nassar Abdulla.",""
"Khushboo: The Fragraance of Love","Bollywood","Comedy Drama Romance","2008","Rajesh Ram Singh","Rishi Rehan, Avantika, Thomas Tevana, Nassar Abdulla","4.4","A Bollywood Comedy Drama Romance film released in 2008, directed by Rajesh Ram Singh and starring Rishi Rehan, Avantika, Thomas Tevana, Nassar Abdulla.",""
"Aasma: The Sky Is the Limit","Bollywood","Drama","2009","Rohit Nayyar","Hrishitaa Bhatt, Seema Biswas, Nauheed Cyrusi, Mansi Dovhal","4.4","A Bollywood Drama film released in 2009, directed by Rohit Nayyar and starring Hrishitaa Bhatt, Seema Biswas, Nauheed Cyrusi, Mansi Dovhal.",""
"Ajab Prem Ki Ghazab Kahani","Bollywood","Comedy Romance","2009","Rajkumar Santoshi","Katrina Kaif, Ranbir Kapoor, Darshan Jariwala, Smita Jaykar","9.8","A Bollywood Comedy Romance film released in 2009, directed by Rajkumar Santoshi and starring Katrina Kaif, Ranbir Kapoor, Darshan Jariwala, Smita Jaykar.",""
"Sankat City","Bollywood","Comedy Crime Drama","2009","Pankaj Advani","Kay Kay Menon, Rimi Sen, Anupam Kher, Chunky Pandey","4.4","A Bollywood Comedy Crime Drama film released in 2009, directed by Pankaj Advani and starring Kay Kay Menon, Rimi Sen, Anupam Kher, Chunky Pandey.",""
"Hari Puttar: A Comedy of Terrors","Bollywood","Comedy Drama Family","2008","Rajesh Bajaj, Lucky Kohli","Jackie Shroff, Sarika, Saurabh Shukla, Vijay Raaz","4.4","A Bollywood Comedy Drama Family film released in 2008, directed by Rajesh Bajaj, Lucky Kohli and starring Jackie Shroff, Sarika, Saurabh Shukla, Vijay Raaz.",""
